text,created_at,id,author_id,edit_history_tweet_ids,public_metrics.retweet_count_tweets,public_metrics.reply_count_tweets,public_metrics.like_count_tweets,public_metrics.quote_count_tweets,public_metrics.bookmark_count_tweets,public_metrics.impression_count_tweets,note_tweet.text_tweets,note_tweet.entities.urls_tweets,note_tweet.entities.hashtags_tweets,referenced_tweet_id,tweet_url,tweet_id,referenced_author_id,public_metrics.retweet_count_inc,public_metrics.reply_count_inc,public_metrics.like_count_inc,public_metrics.quote_count_inc,public_metrics.bookmark_count_inc,public_metrics.impression_count_inc,note_tweet.entities.mentions,note_tweet.text_inc,note_tweet.entities.hashtags_inc,note_tweet.entities.urls_inc,author_name,author_username,referenced_author_description,referenced_author_name,referenced_author_created_at,referenced_username,category,score,reasoning
"RT @avax: We're live in 30 minutes! 

Enterprises and Web3 builders choose @AvaCloud to launch custom L1s faster and more flexibly—without…",2025-03-17T23:01:20.000Z,1901770857480921383,2589043792,['1901770857480921383'],101,0,0,0,0,0,,,,1900570149742153983,https://x.com/x/status/1901770857480921383,1900570149742153983,1055894724245155841,101.0,13.0,220.0,1.0,5.0,18735.0,,,,,Kryptic_9000🔺,https://x.com/CryptVax,Avalanche is a high-performance blockchain platform designed for builders who need to scale. RT ≠ endorsements. https://t.co/htzuWoXW8C,Avalanche🔺,2018-10-26T18:51:34.000Z,avax,Blockchain,8,"The tweet mentions 'Web3 builders' and '@AvaCloud', indicating a focus on blockchain technology. The score is adjusted to 8 due to the clear reference to blockchain and the context of launching custom L1s."
"RT @avax: We're live in 30 minutes! 

Enterprises and Web3 builders choose @AvaCloud to launch custom L1s faster and more flexibly—without…",2025-03-17T23:01:20.000Z,1901770857480921383,2589043792,['1901770857480921383'],101,0,0,0,0,0,,,,1900570149742153983,https://x.com/x/status/1901770857480921383,1900570149742153983,1055894724245155841,101.0,13.0,220.0,1.0,5.0,18735.0,,,,,Kryptic_9000🔺,https://x.com/CryptVax,Avalanche is a high-performance blockchain platform designed for builders who need to scale. RT ≠ endorsements. https://t.co/htzuWoXW8C,Avalanche🔺,2018-10-26T18:51:34.000Z,avax,Blockchain,8,"The tweet scores +2 for mentioning 'Web3 builders' which relates to blockchain technology, and +2 for the context of launching custom L1s, which is a blockchain-specific activity. It does not explicitly mention a startup or company, so it does not receive the additional +4."
"RT @avax: We're live in 30 minutes! 

Enterprises and Web3 builders choose @AvaCloud to launch custom L1s faster and more flexibly—without…",2025-03-17T23:01:20.000Z,1901770857480921383,2589043792,['1901770857480921383'],101,0,0,0,0,0,,,,1900570149742153983,https://x.com/x/status/1901770857480921383,1900570149742153983,1055894724245155841,101.0,13.0,220.0,1.0,5.0,18735.0,,,,,Kryptic_9000🔺,https://x.com/CryptVax,Avalanche is a high-performance blockchain platform designed for builders who need to scale. RT ≠ endorsements. https://t.co/htzuWoXW8C,Avalanche🔺,2018-10-26T18:51:34.000Z,avax,Blockchain,8,"The tweet mentions 'Web3 builders' and '@AvaCloud', indicating a connection to blockchain technology, thus earning +2 for blockchain. Although it does not explicitly mention a startup, the reference to 'launch custom L1s' suggests a company or service in the blockchain space, justifying an additional +2 for context."
RT @avax: Launching Your Blockchain Business Faster Using @AvaCloud https://t.co/LyqbzkJ0LY,2025-03-17T23:01:26.000Z,1901770884756467919,2589043792,['1901770884756467919'],145,0,0,0,0,0,,,,1900577704745030000,https://x.com/x/status/1901770884756467919,1900577704745030000,1055894724245155841,145.0,24.0,310.0,5.0,11.0,16416.0,,,,,Kryptic_9000🔺,https://x.com/CryptVax,Avalanche is a high-performance blockchain platform designed for builders who need to scale. RT ≠ endorsements. https://t.co/htzuWoXW8C,Avalanche🔺,2018-10-26T18:51:34.000Z,avax,Blockchain Startup,10,"The tweet directly mentions 'blockchain business' and '@AvaCloud', indicating a blockchain startup, which justifies the maximum score and category. The use of 'Launching' and 'Faster' also adds relevance by emphasizing speed and efficiency in starting a blockchain business."
RT @avax: Launching Your Blockchain Business Faster Using @AvaCloud https://t.co/LyqbzkJ0LY,2025-03-17T23:01:26.000Z,1901770884756467919,2589043792,['1901770884756467919'],145,0,0,0,0,0,,,,1900577704745030000,https://x.com/x/status/1901770884756467919,1900577704745030000,1055894724245155841,145.0,24.0,310.0,5.0,11.0,16416.0,,,,,Kryptic_9000🔺,https://x.com/CryptVax,Avalanche is a high-performance blockchain platform designed for builders who need to scale. RT ≠ endorsements. https://t.co/htzuWoXW8C,Avalanche🔺,2018-10-26T18:51:34.000Z,avax,Blockchain Startup,10,"The tweet mentions 'Launching Your Blockchain Business' and specifically references 'AvaCloud', indicating a focus on a blockchain startup or company, thus qualifying for the maximum score. The category 'Blockchain Startup' directly reflects the tweet's content about starting a business using blockchain technology."
RT @avax: Launching Your Blockchain Business Faster Using @AvaCloud https://t.co/LyqbzkJ0LY,2025-03-17T23:01:26.000Z,1901770884756467919,2589043792,['1901770884756467919'],145,0,0,0,0,0,,,,1900577704745030000,https://x.com/x/status/1901770884756467919,1900577704745030000,1055894724245155841,145.0,24.0,310.0,5.0,11.0,16416.0,,,,,Kryptic_9000🔺,https://x.com/CryptVax,Avalanche is a high-performance blockchain platform designed for builders who need to scale. RT ≠ endorsements. https://t.co/htzuWoXW8C,Avalanche🔺,2018-10-26T18:51:34.000Z,avax,Blockchain Startup,8,"The tweet mentions 'Launching Your Blockchain Business' and refers to AvaCloud, which implies a blockchain startup or company, justifying the category and a score of 8 due to the mention of blockchain and a startup."
"RT @avax: Hidden fees. Scalpers. Fraud. Lost revenue. Traditional ticketing is broken.

Across industries, billions are being lost in a tic…",2025-03-17T23:01:34.000Z,1901770917065142338,2589043792,['1901770917065142338'],199,0,0,0,0,0,,,,1900591808234877115,https://x.com/x/status/1901770917065142338,1900591808234877115,1055894724245155841,199.0,21.0,376.0,60.0,4.0,22957.0,,"Hidden fees. Scalpers. Fraud. Lost revenue. Traditional ticketing is broken.

Across industries, billions are being lost in a ticketing system that is ripe for disruption. But blockchain can solve this!

Monday, we’re diving into the Future of Ticketing, and how blockchain can unlock new revenue models, enhance security and transparency, and increase fan loyalty.",,,Kryptic_9000🔺,https://x.com/CryptVax,Avalanche is a high-performance blockchain platform designed for builders who need to scale. RT ≠ endorsements. https://t.co/htzuWoXW8C,Avalanche🔺,2018-10-26T18:51:34.000Z,avax,Ticketing,1,"The tweet discusses issues with traditional ticketing systems but does not mention startups or blockchain, hence the low score. The category 'Ticketing' is chosen as the tweet focuses on problems within the ticketing industry."
"RT @avax: Hidden fees. Scalpers. Fraud. Lost revenue. Traditional ticketing is broken.

Across industries, billions are being lost in a tic…",2025-03-17T23:01:34.000Z,1901770917065142338,2589043792,['1901770917065142338'],199,0,0,0,0,0,,,,1900591808234877115,https://x.com/x/status/1901770917065142338,1900591808234877115,1055894724245155841,199.0,21.0,376.0,60.0,4.0,22957.0,,"Hidden fees. Scalpers. Fraud. Lost revenue. Traditional ticketing is broken.

Across industries, billions are being lost in a ticketing system that is ripe for disruption. But blockchain can solve this!

Monday, we’re diving into the Future of Ticketing, and how blockchain can unlock new revenue models, enhance security and transparency, and increase fan loyalty.",,,Kryptic_9000🔺,https://x.com/CryptVax,Avalanche is a high-performance blockchain platform designed for builders who need to scale. RT ≠ endorsements. https://t.co/htzuWoXW8C,Avalanche🔺,2018-10-26T18:51:34.000Z,avax,Ticketing,1,"The tweet discusses issues with traditional ticketing systems but does not mention startups or blockchain, resulting in a low relevance score. The category 'Ticketing' reflects the tweet's focus on problems within the ticketing industry."
"RT @avax: Hidden fees. Scalpers. Fraud. Lost revenue. Traditional ticketing is broken.

Across industries, billions are being lost in a tic…",2025-03-17T23:01:34.000Z,1901770917065142338,2589043792,['1901770917065142338'],199,0,0,0,0,0,,,,1900591808234877115,https://x.com/x/status/1901770917065142338,1900591808234877115,1055894724245155841,199.0,21.0,376.0,60.0,4.0,22957.0,,"Hidden fees. Scalpers. Fraud. Lost revenue. Traditional ticketing is broken.

Across industries, billions are being lost in a ticketing system that is ripe for disruption. But blockchain can solve this!

Monday, we’re diving into the Future of Ticketing, and how blockchain can unlock new revenue models, enhance security and transparency, and increase fan loyalty.",,,Kryptic_9000🔺,https://x.com/CryptVax,Avalanche is a high-performance blockchain platform designed for builders who need to scale. RT ≠ endorsements. https://t.co/htzuWoXW8C,Avalanche🔺,2018-10-26T18:51:34.000Z,avax,Ticketing,1,"The tweet does not mention startups or blockchain, focusing instead on issues within the traditional ticketing industry. The score reflects the absence of relevance to blockchain startups."
RT @De1monte88: Time is ticking!! Soon we will be working for the most advanced Web3 AI company under the World First AI CEO @SuperMissO…,2025-03-17T23:01:49.000Z,1901770979296137683,1457275905827606528,['1901770979296137683'],0,0,0,0,0,0,,,,1901689226753659134,https://x.com/x/status/1901770979296137683,1901689226753659134,1059957990369837056,0.0,0.0,4.0,0.0,0.0,39.0,,,,,flyz,https://x.com/FlowboxSys,"Crypto_NOMAD 

Moderator @o_fndn #WeAreO #WeAreOne
Ambassador Focus Group @SaharaLabsAI
Ambassador @nesaorg 
Art Connector @arkpia
IO Core Supporter @ionet",Delmonte🍊🍀,2018-11-06T23:57:32.000Z,De1monte88,Web3 AI,8,"The tweet mentions working for an advanced Web3 AI company, which implies a startup or company in the blockchain space, hence the high score. The category 'Web3 AI' reflects the tweet's focus on a company integrating Web3 and AI technologies."
