author_id,author_name,author_username,tweet_url,created_at,text,category,score,reasoning
1567132010,クリプトトレイン / CRYPTO TRAIN,https://x.com/blt_s,https://x.com/x/status/1887111959406903740,2025-02-05T12:12:06.000Z,"@PepeMeme_ Hello, your project has great potential and we have ideas to help you take it to the next level. We specialize in promoting crypto projects in Japan and know how to attract an audience and strengthen your position in the market. We are ready to discuss strategy and cooperation… https://t.co/gQakXRmdLP",Crypto Promotion,6,"The tweet scores +2 for mentioning a project, which can be considered a startup, and +2 for mentioning crypto, but not blockchain specifically. It focuses on promoting a crypto project in Japan, hence the category."
1880749118194143232,CRYPTO MONARCH,https://x.com/MONARCH_WEB2,https://x.com/x/status/1887111957875961862,2025-02-05T12:12:06.000Z,RT @MONARCH_WEB1: Gm guyss.....XGC GOD CANDLE one of the biggest project on crypto space💚 https://t.co/882HVvwOuR,Crypto,2,"The tweet mentions 'crypto space' but does not specifically refer to a startup or blockchain, thus scoring low. The category 'Crypto' is chosen due to the mention of cryptocurrency and a project within that space."
1885687087451746304,Jinnat,https://x.com/Jinnat1081433,https://x.com/x/status/1887111948774576156,2025-02-05T12:12:04.000Z,"RT @Diamondxbtee: The leading hub for DeFi innovation, @primex_official.

With the team revealing the project’s roadmap and upcoming plans,…",DeFi,6,"The tweet scores +4 for mentioning a specific DeFi project, Primex, which is a type of blockchain company. The category 'DeFi' is chosen as the tweet focuses on decentralized finance innovation."
1886410524327657472,zarrin,https://x.com/zarrin1524960,https://x.com/x/status/1887111947872620740,2025-02-05T12:12:03.000Z,"@adabelguerrero MikeToken is the best emerging crypto project with a bright future 
Take a look at its information🚀🔥
https://t.co/9Hnks3maZ4
$MKT
@MikeTokenio",Crypto Project,6,"The tweet mentions 'MikeToken,' an emerging crypto project, which suggests it's related to blockchain but not explicitly a startup or company, hence a score of 6. The category 'Crypto Project' reflects the focus on the project's future and its token."
1870741782830432256,Paing Sit Nyein Chan,https://x.com/BsSvf57367,https://x.com/x/status/1887111947125916044,2025-02-05T12:12:03.000Z,"RT @JeanieLash156: Haust presents a second-language project in the GEM format.

➜ https://t.co/km91cuEMSA
#vpY2y7a
   
V3qyLDX @camilomonto…",Unknown,1,"The tweet does not mention any startups or blockchain, and the content is unclear and lacks relevant keywords or context, resulting in a low relevance score."
1862730997126860800,John Roberts,https://x.com/JohnRob28973609,https://x.com/x/status/1887111943002923219,2025-02-05T12:12:02.000Z,"RT @linera_io: ⛓️ Gmicrochains. It’s been a monumental year for Linera.

As we wrap up 2024, we’re taking a look back at the milestones, pa…",Blockchain Startup,8,"The tweet mentions 'Linera,' a blockchain startup, and references 'microchains,' indicating blockchain technology, which justifies the 'Blockchain Startup' category and a score of 8 due to the direct mention of a blockchain startup."
1241767881370742784,Alice Hailey 👱🏼‍♀️,https://x.com/alicehailey__,https://x.com/x/status/1887111934006149468,2025-02-05T12:12:00.000Z,"@fortknox0423 Your project is impressive—let’s make sure everyone in the crypto world knows about it! 
https://t.co/Cl3oLEKQ3m",Crypto,6,"The tweet scores 2 for mentioning a project in the crypto world, and an additional 2 points for the crypto context, totaling 6. The category 'Crypto' is chosen as it directly references the crypto world without specifying blockchain or a startup."
1868634112702943232,TTaturana Silva | TropadaDrih,https://x.com/3wvOt30666,https://x.com/x/status/1887111933398012013,2025-02-05T12:12:00.000Z,"RT @maye_deirdre: The company Haust presents a second-language project in the GEM format.

➜ https://t.co/WPbsg5B80j
   
AzEQS6E @brc20_ord…",Tech,1,"The tweet does not explicitly mention blockchain or a startup, leading to a low relevance score. It references a 'company' and a 'project in the GEM format,' which suggests a tech context but lacks specific details about blockchain or startup involvement."
777994148,Duaverie,https://x.com/Duaverie,https://x.com/x/status/1887111928889164149,2025-02-05T12:11:59.000Z,"RT @harto_fr: gm for the culture 🟧

The first edition on the blockchain of ""White nights"" by Dostoevsky is launching in a few hours on Insc…",Blockchain,6,"The tweet mentions the blockchain and a launch related to a book, which adds relevance but does not explicitly mention a startup or company. The score reflects the blockchain mention and the cultural context of the launch."
988975304180883456,"dolor211|Anomage| Atleta|$GOD |(Ø,G)| Reddio",https://x.com/dolor211,https://x.com/x/status/1887111923822715281,2025-02-05T12:11:58.000Z,"RT @QuantumTon: 🌓 Partnership Announcement: Quantum AI x HorseGo!

We're excited to introduce our collaboration with @HorseGoTon !

🏇 Horse…",Partnership,1,"The tweet does not mention blockchain or startups directly, hence the low score. It discusses a partnership between Quantum AI and HorseGo, which is why it's categorized as 'Partnership'."
